"";"time_seconds";"team_size";"item_weight";"item_volume";"palette_quantity";"palette_number";"item_time"
"1";100;3;4,35;41538;24;1;4,16666666666667
"2";211;3;4,35;41538;24;2;8,79166666666667
"3";315;3;4,35;41538;24;3;13,125
"4";144;4;4,35;41538;24;4;6
"5";156;4;4,35;41538;24;5;6,5
"6";141;4;4,35;41538;24;6;5,875
"7";133;4;4,35;41538;24;7;5,54166666666667
"8";145;4;4,35;41538;24;8;6,04166666666667
"9";135;4;4,35;41538;24;9;5,625
"10";180;4;4,35;41538;24;10;7,5
"11";138;4;4,35;41538;24;11;5,75
"12";167;4;4,35;41538;24;12;6,95833333333333
"13";148;5;4,35;41538;24;13;6,16666666666667
"14";178;5;4,35;41538;24;14;7,41666666666667
"15";124;5;4,35;41538;24;15;5,16666666666667
"16";147;5;4,35;41538;24;16;6,125
"17";133;5;4,35;41538;24;17;5,54166666666667
"18";209;5;4,35;41538;24;18;8,70833333333333
"19";157;5;4,35;41538;24;19;6,54166666666667
"20";137;5;4,35;41538;24;20;5,70833333333333
"21";144;5;4,35;41538;24;21;6
"22";159;5;4,35;41538;24;22;6,625
"23";138;5;4,35;41538;24;23;5,75
"24";158;5;4,35;41538;24;24;6,58333333333333
"25";171;5;4,35;41538;24;25;7,125
"26";156;5;4,35;41538;24;26;6,5
"27";156;5;4,35;41538;24;27;6,5
"28";147;5;4,35;41538;24;28;6,125
"29";227;5;4,35;41538;24;29;9,45833333333333
"30";155;5;4,35;41538;24;30;6,45833333333333
"31";142;5;4,35;41538;24;31;5,91666666666667
"32";204;5;4,35;41538;24;32;8,5
"33";138;5;4,35;41538;24;33;5,75
"34";122;5;4,35;41538;24;34;5,08333333333333
"35";143;5;4,35;41538;24;35;5,95833333333333
"36";151;5;4,35;41538;24;36;6,29166666666667
"37";171;5;4,35;41538;24;37;7,125
"38";167;5;4,35;41538;24;38;6,95833333333333
"39";155;5;4,35;41538;24;39;6,45833333333333
"40";150;5;4,35;41538;24;40;6,25
"41";178;5;4,35;41538;24;41;7,41666666666667
"42";63;5;4,35;41538;24;42;2,625
"43";145;5;4,35;41538;24;43;6,04166666666667
"44";319;5;4,35;41538;24;44;13,2916666666667
"45";64;5;4,35;41538;24;45;2,66666666666667
"46";15;5;4,35;41538;24;46;0,625
"47";144;4;4,52;43987,5;30;1;4,8
"48";201;5;4,52;43987,5;30;2;6,7
"49";121;5;4,52;43987,5;30;3;4,03333333333333
"50";99;5;4,52;43987,5;30;4;3,3
"51";101;5;4,52;43987,5;30;5;3,36666666666667
"52";94;5;4,52;43987,5;30;6;3,13333333333333
"53";110;5;4,52;43987,5;30;7;3,66666666666667
"54";60;5;4,52;43987,5;30;8;2
"55";99;5;4,52;43987,5;30;9;3,3
"56";101;5;4,52;43987,5;30;10;3,36666666666667
"57";190;5;4,52;43987,5;30;11;6,33333333333333
"58";113;5;4,52;43987,5;30;12;3,76666666666667
"59";117;5;4,52;43987,5;30;13;3,9
"60";580;5;4,52;43987,5;30;14;19,3333333333333
"61";135;5;4,52;43987,5;30;15;4,5
"62";118;5;4,52;43987,5;30;16;3,93333333333333
"63";100;5;4,52;43987,5;30;17;3,33333333333333
"64";142;5;4,52;43987,5;30;18;4,73333333333333
"65";113;5;4,52;43987,5;30;19;3,76666666666667
"66";106;5;4,52;43987,5;30;20;3,53333333333333
"67";106;5;4,52;43987,5;30;21;3,53333333333333
"68";90;5;4,52;43987,5;30;22;3
"69";102;5;4,52;43987,5;30;23;3,4
"70";101;5;4,52;43987,5;30;24;3,36666666666667
"71";107;5;4,52;43987,5;30;25;3,56666666666667
"72";104;5;4,52;43987,5;30;26;3,46666666666667
"73";104;5;4,52;43987,5;30;27;3,46666666666667
"74";99;5;4,52;43987,5;30;28;3,3
"75";115;5;4,52;43987,5;30;29;3,83333333333333
"76";342;5;4,52;43987,5;30;30;11,4
"77";92;5;4,52;43987,5;30;31;3,06666666666667
"78";90;5;4,52;43987,5;30;32;3
"79";98;5;4,52;43987,5;30;33;3,26666666666667
"80";107;5;4,52;43987,5;30;34;3,56666666666667
"81";93;5;4,52;43987,5;30;35;3,1
"82";86;5;4,52;43987,5;30;36;2,86666666666667
"83";287;5;3,04;30723;50;37;5,74
"84";217;5;3,04;30723;50;38;4,34
"85";192;5;3,04;30723;50;39;3,84
"86";215;5;3,04;30723;50;40;4,3
"87";216;5;3,04;30723;50;41;4,32
"88";198;5;3,04;30723;50;42;3,96
"89";195;5;3,04;30723;50;43;3,9
"90";231;5;3,04;30723;50;44;4,62
"91";183;5;3,04;30723;50;45;3,66
"92";209;5;3,04;30723;50;46;4,18
"93";125;6;8,84;85800;14;1;8,92857142857143
"94";228;4;8,84;85800;14;2;16,2857142857143
"95";92;4;8,84;85800;14;3;6,57142857142857
"96";110;5;8,84;85800;14;4;7,85714285714286
"97";69;5;8,84;85800;14;5;4,92857142857143
"98";102;6;8,84;85800;14;6;7,28571428571429
"99";122;6;8,84;85800;14;7;8,71428571428571
"100";102;6;8,84;85800;14;8;7,28571428571429
"101";85;6;8,84;85800;14;9;6,07142857142857
"102";102;6;8,84;85800;14;10;7,28571428571429
"103";109;6;8,84;85800;14;11;7,78571428571429
"104";88;6;8,84;85800;14;12;6,28571428571429
"105";73;6;8,84;85800;14;13;5,21428571428571
"106";228;6;8,84;85800;14;14;16,2857142857143
"107";110;6;8,84;85800;14;15;7,85714285714286
"108";85;6;8,84;85800;14;16;6,07142857142857
"109";75;6;8,84;85800;14;17;5,35714285714286
"110";155;6;8,84;85800;14;18;11,0714285714286
"111";57;6;8,84;85800;14;19;4,07142857142857
"112";148;6;8,84;85800;14;20;10,5714285714286
"113";125;6;8,84;85800;14;21;8,92857142857143
"114";195;6;8,84;85800;14;22;13,9285714285714
"115";155;6;8,84;85800;14;23;11,0714285714286
"116";35;6;8,84;85800;14;24;2,5
"117";150;6;8,84;85800;14;25;10,7142857142857
"118";95;6;8,84;85800;14;26;6,78571428571429
"119";113;6;8,84;85800;14;27;8,07142857142857
"120";427;6;8,84;85800;14;28;30,5
"121";310;6;8,84;85800;14;29;22,1428571428571
"122";95;6;8,84;85800;14;30;6,78571428571429
"123";160;6;8,84;85800;14;31;11,4285714285714
"124";126;6;8,84;85800;14;32;9
"125";58;6;8,84;85800;14;33;4,14285714285714
"126";128;6;8,84;85800;14;34;9,14285714285714
"127";13;6;8,84;85800;14;35;0,928571428571429
"128";123;6;8,84;85800;14;36;8,78571428571429
"129";69;6;8,84;85800;14;37;4,92857142857143
"130";66;6;8,84;85800;14;38;4,71428571428571
"131";122;6;8,84;85800;14;39;8,71428571428571
"132";65;6;8,84;85800;14;40;4,64285714285714
"133";112;6;8,84;85800;14;41;8
"134";41;6;8,84;85800;14;42;2,92857142857143
"135";117;6;8,84;85800;14;43;8,35714285714286
"136";44;6;8,84;85800;14;44;3,14285714285714
"137";56;6;8,84;85800;14;45;4
"138";66;6;8,84;85800;14;46;4,71428571428571
"139";96;6;8,84;85800;14;47;6,85714285714286
"140";35;6;8,84;85800;14;48;2,5
"141";111;6;8,84;85800;14;49;7,92857142857143
"142";52;6;8,84;85800;14;50;3,71428571428571
"143";86;6;8,84;85800;14;51;6,14285714285714
"144";111;6;8,84;85800;14;52;7,92857142857143
"145";5;6;8,84;85800;14;53;0,357142857142857
"146";146;6;8,84;85800;14;54;10,4285714285714
"147";65;6;8,84;85800;14;55;4,64285714285714
"148";90;6;8,84;85800;14;56;6,42857142857143
"149";82;6;8,84;85800;14;57;5,85714285714286
"150";40;6;8,84;85800;14;58;2,85714285714286
"151";55;6;8,84;85800;14;59;3,92857142857143
"152";90;5;8,14;64275,75;24;1;3,75
"153";110;5;8,14;64275,75;24;2;4,58333333333333
"154";111;5;8,14;64275,75;24;3;4,625
"155";94;5;8,14;64275,75;24;4;3,91666666666667
"156";125;5;8,14;64275,75;24;5;5,20833333333333
"157";115;5;8,14;64275,75;24;6;4,79166666666667
"158";82;5;8,14;64275,75;24;7;3,41666666666667
"159";137;5;8,14;64275,75;24;8;5,70833333333333
"160";61;5;8,14;64275,75;24;9;2,54166666666667
"161";142;5;8,14;64275,75;24;10;5,91666666666667
"162";40;5;8,14;64275,75;24;11;1,66666666666667
"163";154;5;8,14;64275,75;24;12;6,41666666666667
"164";30;5;8,14;64275,75;24;13;1,25
"165";140;5;8,14;64275,75;24;14;5,83333333333333
"166";60;5;8,14;64275,75;24;15;2,5
"167";189;5;8,14;64275,75;24;16;7,875
"168";133;5;8,14;64275,75;24;17;5,54166666666667
"169";382;5;8,14;64275,75;24;18;15,9166666666667
"170";125;5;8,14;64275,75;24;19;5,20833333333333
"171";5;5;8,14;64275,75;24;20;0,208333333333333
"172";268;5;8,14;64275,75;24;21;11,1666666666667
"173";64;5;8,14;64275,75;24;22;2,66666666666667
"174";253;5;8,14;64275,75;24;23;10,5416666666667
"175";50;5;8,14;64275,75;24;24;2,08333333333333
"176";223;5;8,14;64275,75;24;25;9,29166666666667
"177";61;5;8,14;64275,75;24;26;2,54166666666667
