Date,PaletteCompletionTimeMinutes,PaletteCompletionTimeSeconds,TotalPaletteCompletionTimeSeconds,DiffTotalPaletteCompletionTimeSeconds,TeamSize,ItemWeight,ItemDimensionsCentimeter,ItemHeightCentimeter,ItemLengthCentimeter,ItemDepthCentimeter,ItemVolumeCubiccentimeter,ItemQuantityPerPalette,PaletteNumber
2019-09-09,1,40,100,100,3,4.35,,,,,41538.00,24,1
2019-09-09,5,11,311,211,3,4.35,,,,,41538.00,24,2
2019-09-09,10,26,626,315,3,4.35,,,,,41538.00,24,3
2019-09-09,12,50,770,144,4,4.35,,,,,41538.00,24,4
2019-09-09,15,26,926,156,4,4.35,,,,,41538.00,24,5
2019-09-09,17,47,1067,141,4,4.35,,,,,41538.00,24,6
2019-09-09,20,0,1200,133,4,4.35,,,,,41538.00,24,7
2019-09-09,22,25,1345,145,4,4.35,,,,,41538.00,24,8
2019-09-09,24,40,1480,135,4,4.35,,,,,41538.00,24,9
2019-09-09,27,40,1660,180,4,4.35,,,,,41538.00,24,10
2019-09-09,29,58,1798,138,4,4.35,,,,,41538.00,24,11
2019-09-09,32,45,1965,167,4,4.35,,,,,41538.00,24,12
2019-09-09,35,13,2113,148,5,4.35,,,,,41538.00,24,13
2019-09-09,38,11,2291,178,5,4.35,,,,,41538.00,24,14
2019-09-09,40,15,2415,124,5,4.35,,,,,41538.00,24,15
2019-09-09,42,42,2562,147,5,4.35,,,,,41538.00,24,16
2019-09-09,44,55,2695,133,5,4.35,,,,,41538.00,24,17
2019-09-09,48,24,2904,209,5,4.35,,,,,41538.00,24,18
2019-09-09,51,1,3061,157,5,4.35,,,,,41538.00,24,19
2019-09-09,53,18,3198,137,5,4.35,,,,,41538.00,24,20
2019-09-09,55,42,3342,144,5,4.35,,,,,41538.00,24,21
2019-09-09,58,21,3501,159,5,4.35,,,,,41538.00,24,22
2019-09-09,60,39,3639,138,5,4.35,,,,,41538.00,24,23
2019-09-09,63,17,3797,158,5,4.35,,,,,41538.00,24,24
2019-09-09,66,8,3968,171,5,4.35,,,,,41538.00,24,25
2019-09-09,68,44,4124,156,5,4.35,,,,,41538.00,24,26
2019-09-09,71,20,4280,156,5,4.35,,,,,41538.00,24,27
2019-09-09,73,47,4427,147,5,4.35,,,,,41538.00,24,28
2019-09-09,77,34,4654,227,5,4.35,,,,,41538.00,24,29
2019-09-09,80,9,4809,155,5,4.35,,,,,41538.00,24,30
2019-09-09,82,31,4951,142,5,4.35,,,,,41538.00,24,31
2019-09-09,85,55,5155,204,5,4.35,,,,,41538.00,24,32
2019-09-09,88,13,5293,138,5,4.35,,,,,41538.00,24,33
2019-09-09,90,15,5415,122,5,4.35,,,,,41538.00,24,34
2019-09-09,92,38,5558,143,5,4.35,,,,,41538.00,24,35
2019-09-09,95,9,5709,151,5,4.35,,,,,41538.00,24,36
2019-09-09,98,0,5880,171,5,4.35,,,,,41538.00,24,37
2019-09-09,100,47,6047,167,5,4.35,,,,,41538.00,24,38
2019-09-09,103,22,6202,155,5,4.35,,,,,41538.00,24,39
2019-09-09,105,52,6352,150,5,4.35,,,,,41538.00,24,40
2019-09-09,108,50,6530,178,5,4.35,,,,,41538.00,24,41
2019-09-09,109,53,6593,63,5,4.35,,,,,41538.00,24,42
2019-09-09,112,18,6738,145,5,4.35,,,,,41538.00,24,43
2019-09-09,117,37,7057,319,5,4.35,,,,,41538.00,24,44
2019-09-09,118,41,7121,64,5,4.35,,,,,41538.00,24,45
2019-09-09,118,56,7136,15,5,4.35,,,,,41538.00,24,46
2019-09-20,2,24,144,144,4,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,1
2019-09-20,5,45,345,201,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,2
2019-09-20,7,46,466,121,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,3
2019-09-20,9,25,565,99,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,4
2019-09-20,11,6,666,101,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,5
2019-09-20,12,40,760,94,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,6
2019-09-20,14,30,870,110,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,7
2019-09-20,15,30,930,60,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,8
2019-09-20,17,9,1029,99,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,9
2019-09-20,18,50,1130,101,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,10
2019-09-20,22,0,1320,190,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,11
2019-09-20,23,53,1433,113,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,12
2019-09-20,25,50,1550,117,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,13
2019-09-20,35,30,2130,580,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,14
2019-09-20,37,45,2265,135,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,15
2019-09-20,39,43,2383,118,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,16
2019-09-20,41,23,2483,100,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,17
2019-09-20,43,45,2625,142,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,18
2019-09-20,45,38,2738,113,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,19
2019-09-20,47,24,2844,106,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,20
2019-09-20,49,10,2950,106,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,21
2019-09-20,50,40,3040,90,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,22
2019-09-20,52,22,3142,102,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,23
2019-09-20,54,3,3243,101,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,24
2019-09-20,55,50,3350,107,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,25
2019-09-20,57,34,3454,104,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,26
2019-09-20,59,18,3558,104,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,27
2019-09-20,60,57,3657,99,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,28
2019-09-20,62,52,3772,115,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,29
2019-09-20,68,34,4114,342,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,30
2019-09-20,70,6,4206,92,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,31
2019-09-20,71,36,4296,90,5,4.52,45*42.5*23,45.00,42.50,23.00,43987.50,30,32
